Sport,Discipline,Code,Sports Governing Body,M/F Ratio,Revenue Category,Web Traffic,First year of inclusion,1896,1900,1904,1906,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024,2028
Aquatics,Artistic Swimming,SWA,World Aquatics,0.00,5.00,30000.00,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,2,2,2,2,2,2
Aquatics,Diving,DIV,World Aquatics,0.57,5.00,331800.00,1904,0,0,2,1,2,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8
Aquatics,Marathon Swimming,OWS,World Aquatics,0.00,5.00,483800.00,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Aquatics,Swimming,SWM,World Aquatics,0.58,5.00,483800.00,1896,4,7,9,4,6,9,10,11,11,11,11,11,11,13,15,18,29,29,26,26,29,31,31,32,32,32,32,32,32,35,35,35
Aquatics,Water Polo,WPO,World Aquatics,0.87,5.00,187400.00,1900,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Archery,0.00,ARC,World Archery,0.57,3.00,301900.00,1900,0,7,6,0,3,0,10,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5
Athletics,0.00,ATH,World Athletics,0.70,5.00,,1896,12,23,25,21,26,30,29,27,27,29,29,33,33,33,34,36,36,38,37,38,41,42,43,44,46,46,47,47,47,48,48,48
Badminton,0.00,BDM,BWF,0.49,3.00,1600000.00,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,5,5,5,5
Baseball�and Softball,Baseball,BSB,WBSC[s 1],1.00,0.00,1000000.00,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
Baseball�and Softball,Softball,SBL,WBSC[s 1],0.00,0.00,348100.00,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
